NO,,SMILES,CAS,E_HOMO (eV),Vertical IP (eV),Vertical EA (eV),Mulliken electronegativity (eV),Chemical potential (eV),Hardness (eV),Softness (eV^-1),Electrophilicity index (eV),Nucleophilicity index (eV),RP,SUBSTITUTED NUMBER,BDE,barrier
1,phenol,C1=CC=C(C=C1)O,108-95-2,-5.9573,8.2026,-2.212,2.9953,-2.9953,10.4146,0.096,0.4307,3.1639,0.77,0,86.96,0.34
2,2-bromophehol,C1=CC=C(C(=C1)O)Br ,95-56-7,-6.2198,8.2961,-1.6634,3.3164,-3.3164,9.9595,0.1004,0.5522,2.9014,0.77,1,88.78,0.56
3,2-chlorophenol,C1=CC=C(C(=C1)O)Cl,95-57-8,-6.2491,8.3785,-1.7271,3.3257,-3.3257,10.1056,0.099,0.5472,2.8721,0.77,1,88.57,0.36
4,3-bromophenol,C1=CC(=CC(=C1)Br)O,591-20-8,-6.2591,8.2982,-1.6384,3.3299,-3.3299,9.9367,0.1006,0.5579,2.8621,0.77,1,88.15,0.27
5,3-chlorophenol,C1=CC(=CC(=C1)Cl)O  ,108-43-0,-6.2863,8.3888,-1.7025,3.3432,-3.3432,10.0912,0.0991,0.5538,2.8349,0.77,1,88.24,0.28
6,3-nitrophenol,C1=CC(=CC(=C1)O)[N+](=O)[O-]  ,554-84-7,-6.7965,8.9394,0.2677,4.6035,-4.6035,8.6718,0.1153,1.2219,2.3248,0.77,1,90.03,0.42
7,4-BP,C1=CC(=CC=C1O)Br  ,106-41-2,-6.0392,8.0788,-1.6575,3.2106,-3.2106,9.7363,0.1027,0.5294,3.082,0.77,1,86.46,0.17
8,4-CP,C1=CC(=CC=C1O)Cl  ,106-48-9,-6.09,8.1851,-1.6963,3.2444,-3.2444,9.8814,0.1012,0.5326,3.0312,0.77,1,86.23,0.22
9,4-nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O  ,100-02-7,-6.9204,9.0217,0.0418,4.5318,-4.5318,8.9799,0.1114,1.1435,2.2008,0.77,1,90.96,0.33
10,2-methylphenol(o-cresol),CC1=CC=CC=C1O  ,95-48-7,-5.8292,7.9879,-2.2295,2.8792,-2.8792,10.2174,0.0979,0.4057,3.292,0.77,1,86.27,0.35
