R2,models
0.443915638,Decision Tree
0.856796887,Decision Tree
0.912068719,Decision Tree
0.639863117,Decision Tree
0.863532292,Decision Tree
0.885926355,XGBoost
0.798237665,XGBoost
0.60049542,XGBoost
0.059113551,XGBoost
0.865319623,XGBoost
0.551819087,Random Forest
0.833416008,Random Forest
0.573264972,Random Forest
0.895646707,Random Forest
0.783997844,Random Forest
0.840387157,SVM
0.7670077,SVM
0.671915775,SVM
0.597805058,SVM
0.572359961,SVM
0.676614299,MLP
0.781832341,MLP
-0.266552339,MLP
0.555096328,MLP
0.572320986,MLP
0.388462008,Linear Regression
0.757506427,Linear Regression
0.756061556,Linear Regression
0.806440392,Linear Regression
0.094700027,Linear Regression
